['CW Smith', '', 5, 222, '', 9, '-', '-', '-', 1960, 1962, 37, 2277, 37.32, 3, 32.33, 1933, 0, 0, 10]
['JL Hendriks', '', 20, 447, '', 24, '-', '-', '-', 1962, 1969, 83, 1568, 17.42, 0, '-', 1933, 0, 20, 0]
['SC Stayers', 'Right arm fast medium', 4, 58, '', 3, 636, 364, 9, 1962, 1962, 17, 485, 28.52, 68, 26.1, 1937, 0, 0, 0]
['IL Mendonca', '', 2, 81, '', 2, '-', '-', '-', 1962, 1962, 10, 407, 31.3, 0, '-', 1934, 0, 2, 0]
['WV Rodriguez', 'Legbreak googly', 5, 96, '', 7, 573, 374, 7, 1962, 1968, 64, 2061, 24.83, 119, 28.08, 1934, 0, 0, 2]
['DW Allan', '', 5, 75, '', 6, '-', '-', '-', 1962, 1966, 54, 764, 14.69, 0, '-', 1937, 0, 5, 0]
['LA King', 'Right arm fast', 2, 41, '', 4, 476, 154, 9, 1962, 1968, 62, 1404, 20.64, 142, 31.42, 1939, 0, 0, 0]
['MC Carew', '', 19, 1127, '', 33, 1174, 437, 8, 1963, 1972, 129, 7810, 38.47, 108, 29.75, 1937, 0, 0, 32]
['DL Murray', 'Legbreak', 62, 1993, '', 87, '-', '-', '-', 1963, 1980, 367, 13292, 28.34, 5, 73.4, 1943, 1, 62, 5]
['AW White', 'Right arm medium, Right arm offbreak', 2, 71, '', 3, 491, 152, 3, 1965, 1965, 31, 996, 25.53, 95, 28.05, 1938, 0, 0, 0]
['BA Davis', 'Right arm offbreak', 4, 245, '', 8, '-', '-', '-', 1965, 1965, 112, 6231, 34.81, 9, 48.22, 1940, 0, 0, 8]
['DAJ Holford', 'Legbreak', 24, 768, '', 34, 4816, 2009, 51, 1966, 1977, 99, 3821, 31.31, 253, 31.99, 1940, 0, 0, 0]
['CH Lloyd', 'Right arm medium', 110, 7515, '', 161, 1716, 622, 10, 1966, 1984, 490, 31232, 49.26, 114, 36.0, 1944, 74, 0, 0]
['GS Camacho', 'Legbreak googly', 11, 640, '', 22, 18, 12, 0, 1968, 1971, 76, 4079, 34.86, 8, 27.0, 1945, 0, 0, 21]
['CA Davis', 'Right arm medium', 15, 1301, '', 24, 894, 330, 2, 1968, 1973, 90, 5538, 41.32, 63, 39.36, 1944, 0, 0, 0]
