['SC Williams', 27.91, 40.28, 'Spin', 2013, 2017, 0.5904628330995793, 1.0250762453405626, 0]
['T Maruma', 15.13, 371.17, 'OpenBat', 2013, 2013, 0.3076923076923077, 1.4, 0]
['KO Meth', 13.79, 27.67, 'Fast', 2013, 2013, 0.5581395348837209, 0.5798130398769378, 0]
['R Mutumbami', 17.36, 370.71, 'Bat', 2013, 2014, 0.4737991266375546, 1.4, 0]
['Sikandar Raza', 28.24, 53.32, 'PartSpin', 2013, 2017, 0.5566106647187729, 1.0828839057621347, 0]
['J Nyumbu', 3.63, 42.28, 'Spin', 2014, 2016, 0.29457364341085274, 1.099315465831303, 0]
['DT Tiripano', 14.33, 35.32, 'Fast', 2014, 2017, 0.3067226890756303, 0.95648912228057, 0]
['TP Kamungozi', 5.71, 55.44, 'PartSpin', 2014, 2014, 0.5, 0.7127058245269109, 0]
['BB Chari', 12.65, 187.56, 'OpenBat', 2014, 2016, 0.38315217391304346, 1.282051282051282, 0]
["N M'shangwe", 6.76, 47.64, 'Spin', 2014, 2014, 0.4444444444444444, 1.0555263477170707, 0]
['CJ Chibhabha', 16.76, 43.33, 'OpenPartMed', 2016, 2017, 0.36363636363636365, 1.2745869394177811, 0]
['MT Chinouya', 2.71, 35.34, 'Fast', 2016, 2016, 0.029411764705882353, 1.0639501980758346, 0]
['PS Masvaure', 14.88, 51.88, 'PartFast', 2016, 2016, 0.2972972972972973, 1.4055299539170505, 0]
['PJ Moor', 23.72, 379.03, 'Bat', 2016, 2017, 0.46808510638297873, 1.4, 0]
['CT Mumba', 2.98, 29.9, 'Fast', 2016, 2016, 0.1590909090909091, 1.2350625129515784, 0]
['TK Musakanda', 12.68, 377.48, 'Bat', 2017, 2017, 0.2857142857142857, 1.4, 0]
['SF Mire', 11.3, 188.74, 'OpenPartFast', 2017, 2017, 0.5777777777777777, 0.7349563619660082, 0]
['TS Chisoro', 5.77, 47.9, 'Fast', 2017, 2017, 0.6, 0.8790581889845451, 0]
['RP Burl', 25.8, 377.48, 'Bat', 2017, 2017, 0.41025641025641024, 1.4, 0]
['B Muzarabani', 3.86, 30.92, 'PartFast', 2017, 2017, 1.0, 1.1872372000989366, 0]
