['RW Morgan', 21.1, 62.19, 'PartSpin', 1965, 1972, 0.5, 1.3724149846382667, 0]
['PB Truscott', 15.33, 389.23, 'OpenBat', 1965, 1965, 0.5, 1.4, 0]
['TW Jarvis', 23.91, 191.88, 'OpenBat', 1965, 1973, 0.5, 0.625, 0]
['V Pollard', 23.36, 47.6, 'PartSpin', 1965, 1973, 0.5, 1.047839855236372, 0]
['BR Taylor', 19.58, 30.21, 'Fast', 1965, 1973, 0.5, 1.1655352068203348, 0]
['GE Vivian', 16.52, 74.84, 'PartSpin', 1965, 1972, 0.5, 1.3566628629390136, 0]
['GP Bilby', 17.8, 386.35, 'OpenBat', 1966, 1966, 0.5, 1.4, 0]
['N Puna', 8.72, 40.66, 'PartSpin', 1966, 1966, 0.5, 1.2605042016806722, 0]
['MG Burgess', 30.85, 53.47, 'Bat', 1968, 1980, 0.5, 1.0216867469879518, 10]
['RI Harford', 8.06, 384.62, 'WK', 1968, 1968, 0.5, 1.4, 0]
['BAG Murray', 22.41, 35.58, 'OpenBat', 1968, 1971, 0.5, 0.0, 0]
['K Thomson', 17.22, 192.31, 'Bat', 1968, 1968, 0.5, 1.075911536162582, 0]
['BF Hastings', 29.67, 196.46, 'Bat', 1969, 1976, 0.5, 0.9857612267250822, 0]
['BD Milburn', 6.57, 383.75, 'WK', 1969, 1969, 0.5, 1.4, 0]
['GM Turner', 44.67, 200.13, 'OpenBat', 1969, 1983, 0.5, 0.9881422924901186, 10]
['DR Hadlee', 14.16, 36.96, 'Fast', 1969, 1978, 0.5, 1.1741961908662706, 0]
['HJ Howarth', 10.89, 36.69, 'Spin', 1969, 1977, 0.5, 0.870452810757314, 0]
['KJ Wadsworth', 21.11, 392.93, 'WK', 1969, 1976, 0.5, 1.4, 0]
['MG Webb', 5.69, 45.38, 'PartFast', 1971, 1974, 0.5, 1.5504641516887219, 0]
['Sir RJ Hadlee', 27.33, 22.43, 'Fast', 1973, 1990, 0.5, 0.9890933191176682, 0]
['JM Parker', 24.57, 56.41, 'Bat', 1973, 1980, 0.5, 1.4229249011857708, 1]
["DR O'Sullivan", 9.33, 47.03, 'Spin', 1973, 1976, 0.5, 1.0705539358600582, 0]
['RE Redmond', 22.84, 395.0, 'OpenBat', 1973, 1973, 0.5, 1.4, 0]
['B Andrews', 5.72, 40.01, 'PartMed', 1974, 1974, 0.4489795918367347, 1.4437499999999999, 0]
['JFM Morrison', 21.94, 49.96, 'OpenBat', 1974, 1982, 0.5, 0.6158917418459402, 0]
['JV Coney', 37.43, 48.91, 'PartMed', 1974, 1987, 0.5, 0.7657095297544736, 15]
['BL Cairns', 16.22, 32.79, 'Fast', 1974, 1985, 0.5, 0.9049658946264478, 0]
['EJ Chatfield', 7.49, 32.37, 'Fast', 1975, 1989, 0.23017902813299232, 0.8617586437135308, 0]
['GP Howarth', 32.32, 57.86, 'Bat', 1975, 1985, 0.5, 0.9918383779233612, 30]
['ADG Roberts', 21.77, 52.7, 'PartMed', 1976, 1976, 0.5, 0.9809558030901905, 0]
['RW Anderson', 21.15, 399.87, 'OpenBat', 1976, 1978, 0.5, 1.4, 0]
['WK Lees', 23.02, 199.2, 'WK', 1976, 1983, 0.5, 1.7977528089887642, 0]
['PJ Petherick', 3.71, 41.87, 'Spin', 1976, 1977, 0.5, 1.2375630366634867, 0]
['NM Parker', 14.6, 400.27, 'OpenBat', 1976, 1976, 0.5, 1.4, 0]
['GB Troup', 6.41, 43.41, 'Fast', 1976, 1986, 0.5, 1.0265208075202887, 0]
['GN Edwards', 20.91, 401.2, 'WK', 1977, 1981, 0.5835913312693498, 1.4, 0]
['SL Boock', 6.14, 33.68, 'Spin', 1978, 1989, 0.5, 0.8635613485568017, 0]
['JG Wright', 36.96, 195.38, 'OpenBat', 1978, 1993, 0.5, 0.364963503649635, 14]
['BP Bracewell', 5.7, 49.02, 'Med', 1978, 1985, 0.5, 1.273695822568003, 0]
['BA Edgar', 30.78, 201.21, 'OpenBat', 1978, 1986, 0.5, 0.37593984962406013, 0]
['JF Reid', 41.89, 201.21, 'Bat', 1979, 1986, 0.5, 0.8771929824561403, 0]
['PN Webb', 18.13, 398.41, 'Bat', 1980, 1980, 0.12790697674418605, 1.4, 0]
['PE McEwan', 20.56, 143.49, 'Bat', 1980, 1984, 0.43243243243243246, 0.8145363408521302, 0]
['JG Bracewell', 20.19, 36.21, 'Spin', 1980, 1990, 0.3999200958849381, 0.9554410839666105, 0]
['IDS Smith', 24.97, 195.38, 'WK', 1980, 1992, 0.6317438217890706, 0.608272506082725, 1]
['MC Snedden', 13.32, 38.69, 'Fast', 1981, 1990, 0.2802056555269923, 1.0084457522834103, 0]
['MD Crowe', 44.19, 55.73, 'Bat', 1982, 1995, 0.44659557013945855, 1.0789500985579417, 16]
['JJ Crowe', 25.64, 195.38, 'Bat', 1983, 1990, 0.3436359733848465, 1.0948905109489049, 6]
['EJ Gray', 16.63, 45.02, 'Spin', 1983, 1988, 0.26187961985216474, 0.9345597232184295, 0]
['TJ Franklin', 22.32, 388.22, 'OpenBat', 1983, 1991, 0.2644522516767806, 1.4, 0]
['DA Stirling', 13.28, 55.56, 'Fast', 1984, 1986, 0.3673469387755102, 1.464389269267318, 0]
['KR Rutherford', 26.82, 99.5, 'Bat', 1985, 1995, 0.46040343668285394, 1.3822115384615383, 18]
['VR Brown', 17.68, 53.09, 'PartSpin', 1985, 1985, 0.31097560975609756, 1.1310327099800783, 0]
['SR Gillespie', 8.94, 60.74, 'PartFast', 1986, 1986, 0.345679012345679, 1.0678561773452284, 0]
['GK Robertson', 12.42, 49.04, 'PartFast', 1986, 1986, 0.34285714285714286, 1.3838199513381992, 0]
['W Watson', 5.17, 41.49, 'Fast', 1986, 1993, 0.24691358024691357, 0.8744554355569846, 0]
['TE Blain', 23.51, 396.04, 'WK', 1986, 1994, 0.37968359700249793, 1.4, 0]
['DN Patel', 20.68, 44.39, 'Spin', 1987, 1997, 0.4243281471004243, 1.0474020841773874, 0]
['PA Horne', 17.51, 389.61, 'OpenBat', 1987, 1990, 0.24567474048442905, 1.4, 0]
['AH Jones', 44.36, 109.57, 'Bat', 1987, 1995, 0.392583635630794, 1.2999195926025193, 0]
['DK Morrison', 8.42, 34.67, 'Fast', 1987, 1997, 0.22346698113207547, 1.2073822426978287, 0]
['MJ Greatbatch', 30.61, 199.93, 'Bat', 1988, 1996, 0.4086130206227254, 0.0, 0]
['RH Vance', 21.64, 389.61, 'OpenBat', 1988, 1989, 0.3204334365325077, 1.4, 0]
['CM Kuggeleijn', 14.42, 65.51, 'PartSpin', 1988, 1988, 0.25925925925925924, 1.5180695593066726, 0]
['CL Cairns', 34.08, 29.88, 'Fast', 1989, 2004, 0.5709372312983663, 1.191210686330625, 0]
['SA Thomson', 29.98, 65.59, 'PartSpin', 1990, 1995, 0.45338381448177945, 1.0486740270696546, 0]
['MW Priest', 18.18, 52.41, 'PartSpin', 1990, 1998, 0.30939226519337015, 0.9143959488787075, 0]
['AC Parore', 26.71, 406.5, 'WK', 1990, 2002, 0.3872144884443844, 1.4, 0]
['GE Bradburn', 16.5, 57.58, 'PartSpin', 1990, 2001, 0.2807486631016043, 1.1534025374855825, 0]
['C Pringle', 8.86, 48.39, 'Fast', 1990, 1995, 0.5072463768115942, 1.0189634302901367, 0]
['DJ White', 16.29, 142.77, 'OpenBat', 1990, 1990, 0.3333333333333333, 3.663003663003663, 0]
['BR Hartland', 16.45, 403.77, 'OpenBat', 1992, 1994, 0.3133402275077559, 1.4, 0]
["ML Su'a", 11.5, 53.28, 'Fast', 1992, 1995, 0.3191489361702128, 1.056758225945704, 0]
['RT Latham', 24.25, 145.48, 'OpenBat', 1992, 1993, 0.4899328859060403, 0.72992700729927, 0]
['SB Doull', 14.85, 37.46, 'Med', 1992, 2000, 0.6690140845070423, 1.0314684058928738, 0]
['MJ Haslam', 4.57, 68.67, 'PartSpin', 1992, 1995, 0.11428571428571428, 1.0842706988751614, 0]
['DJ Nash', 23.1, 36.1, 'Fast', 1992, 2001, 0.3468125594671741, 0.9294215061610577, 3]
['CZ Harris', 20.74, 65.41, 'PartMed', 1992, 2002, 0.3370932754880694, 0.9828629032258064, 0]
['MB Owens', 3.65, 47.88, 'Fast', 1992, 1994, 0.12213740458015267, 1.1884205180294565, 0]
