['DR Parry', 19.13, 47.13, 'Spin', 1978, 1980, 1, 1.11, 0]
['ST Clarke', 11.75, 29.85, 'Fast', 1978, 1982, 1, 1.06, 0]
['AE Greenidge', 18.87, 100, 'OpenBat', 1978, 1979, 1, 1.2, 0]
['DA Murray', 20.85, 100, 'WK', 1978, 1982, 1, 1.2, 0]
['N Phillip', 19.76, 36.06, 'Fast', 1978, 1979, 1, 1.2, 0]
['S Shivnarine', 22.58, 96.5, 'PartSpin', 1978, 1979, 1, 1.14, 0]
['AB Williams', 26.96, 100, 'OpenBat', 1978, 1979, 1, 1.2, 0]
['SFAF Bacchus', 25.3, 100, 'OpenBat', 1978, 1982, 1, 1.12, 0]
['MD Marshall', 18.61, 20.68, 'Fast', 1978, 1991, 1, 1.0, 0]
['HS Chang', 19.66, 100, 'Bat', 1979, 1979, 1, 1.2, 0]
['R Nanan', 12.22, 36.89, 'Spin', 1980, 1980, 0.5, 0.95, 0]
['EH Mattis', 20.6, 100, 'Bat', 1981, 1981, 0.72, 0.87, 0]
['PJL Dujon', 31.2, 100, 'WK', 1981, 1991, 1, 1.2, 0]
['AL Logie', 34.74, 100, 'Bat', 1983, 1991, 1, 1.2, 0]
['WW Davis', 11.24, 38.94, 'Fast', 1983, 1988, 1, 1.16, 0]
['EAE Baptiste', 19.73, 34.6, 'Fast', 1983, 1990, 1, 0.91, 0]
['RB Richardson', 43.5, 52.04, 'Bat', 1983, 1995, 1, 0.8, 24]
['RA Harper', 18.62, 34.38, 'Spin', 1983, 1993, 1, 0.8, 0]
['MA Small', 7.71, 48.59, 'Fast', 1984, 1984, 1, 1.2, 0]
['CA Walsh', 7.55, 24.44, 'Fast', 1984, 2001, 0.9, 0.93, 22]
['CG Butts', 10.44, 41.49, 'Spin', 1985, 1988, 0.77, 0.84, 0]
['CA Best', 24.41, 50.74, 'Bat', 1986, 1990, 0.93, 1.2, 0]
['BP Patterson', 5.41, 36.27, 'Fast', 1986, 1992, 0.72, 1.2, 0]
['TRO Payne', 20.72, 100, 'WK', 1984, 1987, 1, 1.2, 0]
['AH Gray', 8.39, 33.72, 'Fast', 1986, 1987, 0.72, 0.93, 0]
['WKM Benjamin', 17.58, 35.62, 'Fast', 1987, 1995, 1.2, 0.98, 0]
['CL Hooper', 36.69, 49.73, 'PartSpin', 1987, 2002, 1.01, 0.89, 22]
['PV Simmons', 22.26, 49.52, 'OpenPartMed', 1988, 1997, 1.04, 0.9, 0]
['CEL Ambrose', 12.48, 21.12, 'Fast', 1988, 2000, 0.93, 0.84, 0]
['KLT Arthurton', 30.7, 100, 'Bat', 1988, 1995, 0.81, 0.85, 0]
['IR Bishop', 12.23, 26.17, 'Fast', 1989, 1998, 0.73, 1.01, 0]
['EA Moseley', 10.05, 38.57, 'Fast', 1990, 1990, 1, 1.1, 0]
