['JM Patel', 'Right arm offbreak', 7, 25, '', 9, 1725, 637, 29, 1955, 1960, 63, 780, 12.78, 248, 21.7, 1924, 0, 0, 0]
['AG Kripal Singh', 'Right arm offbreak', 14, 422, '', 15, 1518, 584, 10, 1955, 1964, 96, 4939, 40.81, 177, 28.41, 1933, 0, 0, 0]
['VN Swamy', 'Right arm fast medium', 1, '-', '-', 0, 108, 45, 0, 1955, 1955, 19, 201, 14.35, 68, 22.16, 1924, 0, 0, 0]
['NJ Contractor', 'Right arm medium', 31, 1611, '', 51, 186, 80, 1, 1955, 1962, 138, 8611, 39.86, 26, 40.0, 1934, 12, 0, 48]
['VL Mehra', 'Right arm bowler', 8, 329, '', 13, 36, 6, 0, 1955, 1964, 109, 5614, 34.44, 26, 31.0, 1938, 0, 0, 13]
['SR Patil', 'Right arm fast medium', 1, 14, '', 0, 138, 51, 2, 1955, 1955, 36, 866, 27.06, 83, 30.6, 1933, 0, 0, 0]
['RG Nadkarni', 'Slow left arm orthodox', 41, 1414, '', 55, 9165, 2559, 88, 1955, 1968, 191, 8880, 40.36, 500, 21.37, 1933, 0, 0, 0]
['GR Sunderam', 'Right arm fast medium', 2, 3, '', 0, 396, 166, 3, 1955, 1955, 47, 558, 14.68, 127, 26.1, 1930, 0, 0, 0]
['CT Patankar', '', 1, 14, '', 1, '-', '-', '-', 1955, 1955, 26, 503, 15.71, 0, '-', 1930, 0, 1, 0]
['CG Borde', 'Legbreak', 55, 3061, '', 86, 5695, 2417, 52, 1958, 1969, 251, 12805, 40.91, 331, 27.32, 1934, 1, 0, 0]
['GM Guard', 'Left arm fast medium', 2, 11, '', 2, 396, 182, 3, 1958, 1960, 41, 238, 11.9, 124, 20.53, 1925, 0, 0, 0]
['MS Hardikar', 'Right arm medium, Right arm offbreak', 2, 56, '', 3, 108, 55, 1, 1958, 1958, 74, 2592, 32.81, 74, 31.66, 1936, 0, 0, 0]
['VB Ranjane', 'Right arm fast medium', 7, 40, '', 6, 1265, 649, 19, 1958, 1964, 64, 701, 14.91, 175, 27.73, 1937, 0, 0, 0]
['RB Kenny', 'Right arm offbreak', 5, 245, '', 9, '-', '-', '-', 1958, 1960, 59, 3079, 50.47, 15, 31.2, 1930, 0, 0, 0]
['Surendra Nath', 'Right arm medium', 11, 136, '', 13, 2602, 1053, 26, 1958, 1961, 88, 1351, 15.7, 278, 25.37, 1937, 0, 0, 0]
['AK Sengupta', 'Legbreak googly', 1, 9, '', 2, '-', '-', '-', 1959, 1959, 45, 1695, 26.48, 21, 31.14, 1939, 0, 0, 1]
['RB Desai', 'Right arm fast medium', 28, 418, '', 31, 5597, 2761, 74, 1959, 1968, 150, 2384, 18.19, 468, 24.1, 1939, 0, 0, 0]
['ML Jaisimha', 'Right arm offbreak', 39, 2056, '', 67, 2097, 829, 9, 1959, 1971, 245, 13516, 37.44, 431, 29.86, 1939, 0, 0, 42]
['AL Apte', 'Right arm medium', 1, 15, '', 2, '-', '-', '-', 1959, 1959, 58, 2782, 33.51, 2, 38.0, 1934, 0, 0, 2]
['AA Baig', 'Legbreak', 10, 428, '', 18, 18, 15, 0, 1959, 1966, 235, 12367, 34.16, 9, 48.0, 1939, 0, 0, 0]
['VM Muddiah', 'Right arm medium, Right arm offbreak', 2, 11, '', 2, 318, 134, 3, 1959, 1960, 61, 805, 13.87, 175, 23.76, 1929, 0, 0, 0]
['SA Durani', 'Slow left arm orthodox', 29, 1202, '', 48, 6446, 2657, 75, 1960, 1973, 170, 8545, 33.37, 484, 26.09, 1934, 0, 0, 0]
['BK Kunderan', 'Right arm medium', 18, 981, '', 30, 24, 13, 0, 1960, 1967, 129, 5708, 28.97, 3, 53.33, 1939, 0, 15, 21]
['AG Milkha Singh', 'Right arm medium', 4, 92, '', 6, 6, 2, 0, 1960, 1961, 88, 4324, 35.44, 5, 49.0, 1941, 0, 0, 0]
['MM Sood', '', 1, 3, '', 2, '-', '-', '-', 1960, 1960, 35, 1214, 28.23, 2, 77.5, 1939, 0, 0, 0]
['RF Surti', 'Left arm medium', 26, 1263, '', 44, 3870, 1962, 42, 1960, 1969, 160, 8066, 30.9, 284, 37.07, 1936, 0, 0, 1]
['BP Gupte', 'Legbreak googly', 3, 28, '', 1, 678, 349, 3, 1961, 1965, 99, 587, 9.17, 417, 24.88, 1934, 0, 0, 0]
['VV Kumar', 'Legbreak googly', 2, 6, '', 2, 605, 202, 7, 1961, 1961, 129, 673, 7.64, 599, 19.98, 1935, 0, 0, 0]
['FM Engineer', 'Legbreak', 46, 2611, '', 84, '-', '-', '-', 1961, 1975, 335, 13436, 29.52, 1, 117.0, 1938, 0, 46, 48]
