['DPMD Jayawardene', 'Right arm medium', 149, 11814, 22959, 237, 589, 310, 6, 1997, 2014, 237, 17838, 49.68, 52, 31.32, 1977, 38, 0, 1]
['SKL de Silva', 'Right arm offbreak', 3, 36, 153, 2, '-', '-', '-', 1997, 1997, 185, 10904, 40.99, 1, 67.0, 1975, 0, 3, 0]
['HMCM Bandara', 'Legbreak', 8, 124, 240, 8, 1152, 633, 16, 1998, 2006, 190, 4304, 20.01, 570, 25.43, 1979, 0, 0, 0]
['MRCN Bandaratilleke', 'Slow left arm orthodox', 7, 93, 252, 8, 1722, 698, 23, 1998, 2001, 177, 3624, 18.39, 573, 21.26, 1975, 0, 0, 0]
['ASA Perera', 'Right arm fast medium', 3, 77, 148, 3, 408, 180, 1, 1998, 2001, 88, 2431, 24.06, 147, 24.9, 1978, 0, 0, 0]
['PDRL Perera', 'Left arm medium fast', 8, 33, 124, 3, 1130, 661, 17, 1999, 2002, 109, 638, 9.11, 349, 24.89, 1977, 0, 0, 0]
['KEA Upashantha', 'Right arm fast medium', 2, 10, 38, 3, 306, 200, 4, 1999, 2002, 119, 2754, 20.7, 294, 25.19, 1972, 0, 0, 0]
['DA Gunawardene', '', 6, 181, 323, 11, '-', '-', '-', 1999, 2005, 129, 6680, 35.53, 0, '-', 1977, 0, 0, 7]
['UDU Chandana', 'Legbreak', 16, 616, 1217, 23, 2685, 1535, 37, 1999, 2005, 165, 6360, 30.72, 469, 24.95, 1972, 0, 0, 0]
['HMRKB Herath', 'Slow left arm orthodox', 93, 1699, 3405, 116, 25993, 12157, 433, 1999, 2018, 270, 5021, 16.35, 1080, 25.14, 1978, 5, 0, 1]
['SI de Saram', 'Right arm offbreak', 4, 117, 284, 5, '-', '-', '-', 1999, 2000, 217, 12679, 39.13, 27, 43.33, 1973, 0, 0, 0]
['TM Dilshan', 'Right arm offbreak', 87, 5492, 8379, 134, 3385, 1711, 39, 1999, 2013, 233, 13979, 38.83, 90, 36.16, 1976, 11, 3, 53]
['IS Gallage', 'Right arm fast medium', 1, 3, 33, 1, 150, 77, 0, 1999, 2001, 113, 1617, 14.7, 293, 22.19, 1975, 0, 0, 0]
['CRD Fernando', 'Right arm fast medium', 40, 249, 709, 30, 6181, 3784, 100, 2000, 2012, 121, 590, 7.46, 315, 30.46, 1979, 0, 0, 0]
