['N Kapil Dev', 30.34, 28.96, 'Fast', 1978, 1994, 1, 1.02, 34]
['MV Narasimha Rao', 22.4, 48.14, 'PartSpin', 1978, 1979, 1, 1.12, 0]
['DD Parsana', 15.09, 37.98, 'PartFast', 1979, 1979, 1, 0.95, 0]
['B Reddy', 10.59, 100, 'WK', 1979, 1979, 0.76, 1.2, 0]
['Yashpal Sharma', 33.54, 45.43, 'Bat', 1979, 1983, 1, 1.2, 0]
['DR Doshi', 4.77, 31.14, 'Spin', 1979, 1983, 1, 0.84, 0]
['NS Yadav', 13.84, 38.23, 'Spin', 1979, 1987, 1, 0.97, 0]
['RMH Binny', 23.22, 53.34, 'Med', 1979, 1987, 1, 1.2, 0]
['SM Patil', 37.15, 48.5, 'Bat', 1980, 1984, 1, 0.84, 0]
['KBJ Azad', 20.19, 57.49, 'PartSpin', 1981, 1983, 1, 1.12, 0]
['RJ Shastri', 34.97, 40.01, 'Spin', 1981, 1992, 1, 0.86, 1]
['B Yograj Singh', 8.49, 56.29, 'Fast', 1980, 1981, 1, 1.2, 0]
['TE Srinivasan', 20.36, 100, 'Bat', 1980, 1981, 0.52, 1.2, 0]
['K Srikkanth', 29.19, 84.99, 'OpenBat', 1981, 1992, 1, 1.16, 4]
['AO Malhotra', 29.55, 100, 'Bat', 1982, 1985, 1, 0.8, 0]
['P Roy', 24.98, 100, 'OpenBat', 1982, 1982, 0.62, 1.2, 0]
['GAHM Parkar', 23.68, 100, 'OpenBat', 1982, 1984, 1, 1.2, 0]
['SV Nayak', 16.23, 63.5, 'Spin', 1982, 1982, 1, 1.2, 0]
['J Arun Lal', 26.14, 57.82, 'OpenBat', 1982, 1989, 1, 0.96, 0]
['RC Shukla', 19.71, 41.83, 'Spin', 1982, 1982, 1, 1.17, 0]
['Maninder Singh', 5.41, 36.1, 'Spin', 1982, 1993, 1, 0.88, 0]
['BS Sandhu', 16.39, 49.03, 'Fast', 1983, 1983, 1, 1.2, 0]
['TAP Sekhar', 8.22, 50.11, 'Fast', 1983, 1983, 1, 1.2, 0]
['L Sivaramakrishnan', 14.95, 60.26, 'Spin', 1983, 1986, 1, 1.07, 0]
['AR Bhat', 7.52, 37.39, 'Spin', 1983, 1983, 1, 0.8, 0]
['NS Sidhu', 42.22, 100, 'OpenBat', 1983, 1999, 1, 1.2, 0]
['C Sharma', 21.26, 38.33, 'Fast', 1984, 1989, 1, 1.2, 0]
['M Prabhakar', 32.33, 39.23, 'Med', 1984, 1995, 1, 1.05, 0]
['M Azharuddin', 45.02, 60.28, 'Bat', 1984, 2000, 1, 1.2, 47]
['G Sharma', 12.39, 46.57, 'Spin', 1985, 1990, 1, 0.8, 0]
['LS Rajput', 29.22, 100, 'OpenBat', 1985, 1985, 1, 1.2, 0]
['S Viswanath', 16.23, 100, 'WK', 1985, 1985, 1, 1.2, 0]
['KS More', 25.45, 100, 'WK', 1986, 1993, 1, 1.2, 0]
['CS Pandit', 28.49, 100, 'WK', 1986, 1992, 1.03, 1.2, 0]
['RR Kulkarni', 11.62, 53.91, 'Fast', 1986, 1987, 1, 1.2, 0]
['B Arun', 16.93, 54.62, 'Med', 1986, 1987, 1, 1.01, 0]
['R Lamba', 28.55, 100, 'Bat', 1986, 1987, 1, 1.2, 0]
['Arshad Ayub', 16.6, 41.01, 'Spin', 1987, 1989, 0.64, 0.86, 0]
['SV Manjrekar', 37.13, 100, 'Bat', 1987, 1996, 0.77, 1.2, 0]
['ND Hirwani', 6.25, 35.05, 'Spin', 1988, 1996, 1, 1.01, 0]
['WV Raman', 26.52, 63.27, 'OpenPartSpin', 1988, 1997, 0.76, 0.81, 0]
['AK Sharma', 30.35, 50.91, 'PartSpin', 1988, 1993, 0.63, 0.82, 0]
['RGM Patel', 5.12, 59.02, 'PartFast', 1988, 1988, 1, 1.2, 0]
['SK Sharma', 21.55, 52.9, 'Med', 1988, 1990, 1.4, 1.2, 0]
['M Venkataramana', 7.81, 48.73, 'PartSpin', 1989, 1989, 1, 1.2, 0]
['SA Ankola', 9.14, 44.09, 'Fast', 1989, 1997, 1, 1.2, 0]
['SR Tendulkar', 52.49, 72.29, 'Bat', 1989, 2013, 1, 1.19, 25]
['V Razdan', 12.5, 48.12, 'Fast', 1989, 1989, 1, 1.2, 0]
['SLV Raju', 9.68, 33.9, 'Spin', 1990, 2001, 1, 0.82, 0]
['AS Wassan', 12.55, 46.49, 'Fast', 1990, 1990, 1.41, 1.2, 0]
['Gursharan Singh', 25.74, 100, 'Bat', 1990, 1990, 1, 1.2, 0]
['A Kumble', 17.61, 29.38, 'Spin', 1990, 2008, 0.78, 0.94, 14]
['J Srinath', 14.44, 30.99, 'Fast', 1991, 2002, 0.99, 1.04, 0]
['ST Banerjee', 10.56, 51.27, 'Fast', 1991, 1992, 1, 0.95, 0]
['PK Amre', 32.96, 100, 'Bat', 1992, 1993, 0.75, 1.2, 0]
['A Jadeja', 28.22, 100, 'OpenBat', 1992, 2000, 0.79, 1.2, 0]
['RK Chauhan', 9.83, 47.4, 'Spin', 1993, 1998, 0.56, 0.85, 0]
['VG Kambli', 44.48, 100, 'Bat', 1993, 1995, 1.19, 1.2, 0]
['V Yadav', 22.13, 100, 'WK', 1992, 1994, 1, 1.2, 0]
['NR Mongia', 24.03, 100, 'WK', 1994, 2001, 0.77, 1.2, 0]
['AR Kapoor', 16.23, 51.92, 'Spin', 1994, 1996, 1.07, 0.87, 0]
['SB Joshi', 18.77, 36.93, 'Spin', 1996, 2000, 0.84, 0.9, 0]
['PL Mhambrey', 12.8, 41.93, 'Med', 1996, 1996, 1.05, 1.2, 0]
['BKV Prasad', 7.21, 37.94, 'Fast', 1996, 2001, 0.58, 1.01, 0]
['V Rathour', 26.4, 100, 'OpenBat', 1996, 1997, 0.68, 1.2, 0]
['R Dravid', 49.38, 100, 'Bat', 1996, 2012, 0.85, 0.8, 25]
['SC Ganguly', 40.83, 57.62, 'PartMed', 1996, 2008, 1.03, 1.08, 49]
['DJ Johnson', 6.41, 50.5, 'Med', 1996, 1996, 1, 1.2, 0]
['VVS Laxman', 43.4, 57.57, 'Bat', 1996, 2012, 0.99, 0.8, 0]
['D Ganesh', 10.73, 48.74, 'Med', 1997, 1997, 0.5, 1.2, 0]
['A Kuruvilla', 6.76, 44.08, 'Fast', 1997, 1997, 0.8, 1.09, 0]
['NM Kulkarni', 7.18, 49.17, 'Spin', 1997, 2001, 1, 0.94, 0]
['DS Mohanty', 8.46, 38.15, 'Med', 1997, 1997, 1, 1.2, 0]
['Harvinder Singh', 9.04, 50.1, 'Fast', 1998, 2001, 1, 1.2, 0]
['Harbhajan Singh', 16.81, 29.94, 'Spin', 1998, 2015, 1.3, 0.91, 0]
['AB Agarkar', 16.28, 47.47, 'Fast', 1998, 2006, 1.06, 1.13, 0]
['RR Singh', 28.51, 63.16, 'PartFast', 1989, 2001, 1, 1.17, 0]
['R Singh', 3.76, 45.69, 'Fast', 1999, 1999, 1, 1.2, 0]
['S Ramesh', 37.51, 100, 'OpenBat', 1999, 2001, 0.93, 1.2, 0]
['A Nehra', 5.5, 44.62, 'Fast', 1999, 2004, 0.6, 1.09, 0]
['DJ Gandhi', 26.86, 100, 'OpenBat', 1999, 1999, 0.75, 1.2, 0]
['MSK Prasad', 15.24, 100, 'WK', 1999, 2000, 0.57, 1.2, 0]
['R Vijay Bharadwaj', 23.48, 74.94, 'PartSpin', 1999, 2000, 0.5, 0.89, 0]
['HH Kanitkar', 29.51, 60.53, 'Bat', 1999, 2000, 0.8, 0.8, 0]
['W Jaffer', 32.2, 100, 'OpenBat', 2000, 2008, 0.96, 0.8, 0]
['M Kartik', 11.99, 37.21, 'Spin', 2000, 2004, 0.76, 0.85, 0]
['N Chopra', 15.35, 60.05, 'Spin', 1998, 2000, 0.5, 1.13, 0]
['M Kaif', 28.2, 52.2, 'Bat', 2000, 2006, 0.81, 0.8, 0]
['SS Das', 34.05, 100, 'OpenBat', 2000, 2002, 0.78, 1.07, 0]
['SS Karim', 30.23, 100, 'WK', 1997, 2000, 1, 1.2, 0]
['Z Khan', 10.99, 30.29, 'Fast', 2000, 2014, 1.03, 1.04, 0]
['V Dahiya', 19.8, 100, 'WK', 2000, 2000, 1, 1.2, 0]
['Sarandeep Singh', 14.32, 45.57, 'Spin', 2000, 2002, 0.63, 1.02, 0]
['RL Sanghvi', 6.26, 56.31, 'Spin', 1998, 1998, 1, 1.2, 0]
['SV Bahutule', 19.54, 38.72, 'Spin', 2001, 2001, 0.74, 1.12, 0]
['SS Dighe', 19.46, 100, 'WK', 2001, 2001, 0.77, 1.2, 0]
['HK Badani', 25.44, 100, 'Bat', 2001, 2001, 0.76, 0.8, 0]
['D Dasgupta', 20.95, 100, 'OpenWK', 2001, 2002, 0.61, 1.2, 0]
['V Sehwag', 45.37, 59.12, 'OpenPartSpin', 2001, 2013, 1.64, 0.97, 4]
['SB Bangar', 24.09, 49.55, 'OpenPartFast', 2001, 2002, 0.65, 0.9, 0]
['IR Siddiqui', 8.83, 48.2, 'OpenFast', 2001, 2001, 1, 0.85, 0]
['T Yohannan', 6.58, 55.82, 'Fast', 2001, 2002, 1, 1.06, 0]
['A Ratra', 17.65, 100, 'WK', 2002, 2002, 0.61, 0.8, 0]
['PA Patel', 28.36, 100, 'WK', 2002, 2018, 0.97, 1.2, 0]
['L Balaji', 6.54, 39.37, 'Fast', 2003, 2005, 0.81, 1.12, 0]
['A Chopra', 24.22, 100, 'OpenBat', 2003, 2004, 0.69, 1.2, 0]
['Yuvraj Singh', 31.15, 62.79, 'Bat', 2003, 2012, 1.16, 1.12, 0]
['IK Pathan', 29.12, 34.8, 'Fast', 2003, 2008, 1.06, 1.05, 0]
['G Gambhir', 38.72, 100, 'OpenBat', 2004, 2016, 1.03, 0.8, 0]
