['Jubair Hossain', 'Legbreak', 6, 13, 88, 3, 715, 493, 16, 2014, 2015, 24, 49, 3.26, 67, 32.62, 1995, 0, 0, 0]
['Mohammad Shahid', 'Right arm medium fast', 5, 57, 81, 5, 630, 288, 5, 2015, 2015, 44, 720, 15.65, 93, 32.72, 1988, 0, 0, 0]
['Soumya Sarkar', 'Right arm medium fast', 16, 831, 1442, 30, 508, 336, 4, 2015, 2021, 71, 3499, 29.65, 35, 45.31, 1993, 0, 0, 20]
['Liton Das', '', 24, 1134, 1958, 40, '-', '-', '-', 2015, 2021, 71, 5421, 47.97, '-', '-', 1994, 0, 18, 10]
['Mustafizur Rahman', 'Left arm fast medium', 14, 59, 149, 13, 2013, 1102, 30, 2015, 2021, 35, 142, 5.91, 91, 26.68, 1995, 0, 0, 0]
['Kamrul Islam Rabbi', 'Right arm medium fast', 7, 51, 281, 9, 750, 504, 8, 2016, 2018, 84, 969, 11.13, 168, 41.1, 1991, 0, 0, 0]
['Mehidy Hasan Miraz', 'Right arm offbreak', 26, 894, 1741, 43, 6554, 3587, 104, 2016, 2021, 44, 1577, 26.28, 175, 30.17, 1997, 0, 0, 0]
['Sabbir Rahman', 'Legbreak', 11, 481, 875, 20, 144, 98, 0, 2016, 2018, 65, 2932, 30.22, 16, 46.93, 1991, 0, 0, 0]
['Subashis Roy', 'Right arm fast medium', 4, 14, 60, 1, 749, 465, 9, 2017, 2017, 67, 171, 3.71, 172, 30.33, 1988, 0, 0, 0]
['Taskin Ahmed', 'Right arm fast', 7, 81, 219, 12, 1340, 947, 15, 2017, 2021, 29, 269, 9.96, 86, 33.01, 1995, 0, 0, 0]
['Najmul Hossain Shanto', 'Right arm offbreak', 8, 430, 1016, 15, 4, 13, 0, 2017, 2021, 48, 3234, 42.55, 4, 61.25, 1998, 0, 0, 0]
['Nurul Hasan', '', 3, 115, 186, 6, '-', '-', '-', 2017, 2018, 89, 4362, 38.26, 1, 36.0, 1993, 0, 3, 0]
